"State","Month","Year","Dayweek","Time","Crash_Type","Bus_Involvement","Heavy_Rigid_Truck_Involvement","Articulated_Truck_Involvement","Speed_Limit","Road_User","Gender","Age","National_Remoteness_Areas_2021","SA4_Name_2021","National_LGA_Name_2021","National_Road_Type","Christmas_Period","Easter_Period","Crash_ID"
"WA","12","2017","Tuesday","20:12:00","Multiple","No","No","No","60","Motorcycle rider","Male","28","Major Cities of Australia","Perth - South East","South Perth","Local Road","No","No","5201712050134"
"NSW","5","2017","Friday","14:30:00","Single","No","No","No","100","Passenger","Female","4","Outer Regional Australia","Hunter Valley exc Newcastle","Upper Hunter Shire","National or State Highway","No","No","120171136538"
"WA","11","2023","Thursday","10:07:00","Multiple","No","No","No","60","Motorcycle rider","Male","25","Major Cities of Australia","Perth - South West","Kwinana","Local Road","No","No","9215397672407438453"
"SA","4","2020","Saturday","13:40:00","Multiple","No","No","No","60","Driver","Female","53","Major Cities of Australia","Adelaide - Central and Hills","Unley","Arterial Road","No","No","520202000097127"
"VIC","11","2023","Tuesday","12:48:00","Multiple","No","No","No","50","Motorcycle rider","Male","41","Major Cities of Australia","Melbourne - West","Brimbank","Local Road","No","No","7259793126777847582"
"QLD","1","2019","Wednesday","21:00:00","Single","No","No","No","60","Pedestrian","Male","17","Major Cities of Australia","Brisbane - South","Brisbane","National or State Highway","No","No","320190112056"
"VIC","11","2022","Thursday","16:46:00","Multiple","No","No","No","80","Driver","Female","45","Major Cities of Australia","Melbourne - South East","Casey","Sub-arterial Road","No","No","3798104565126488521"
"SA","11","2020","Thursday","22:30:00","Single","No","No","No","100","Driver","Male","16","Outer Regional Australia","Barossa - Yorke - Mid North","Copper Coast","Access road","No","No","520202000254753"
"NSW","3","2021","Wednesday","13:00:00","Multiple","No","No","No","80","Driver","Male","38","Inner Regional Australia","Sydney - Outer South West","Wollondilly","Arterial Road","No","No","120211257347"
"SA","11","2023","Saturday","09:40:00","Multiple","No","No","No","110","Driver","Male","77","Outer Regional Australia","South Australia - South East","Tatiara","Local Road","No","No","7916475330697791469"
"QLD","7","2019","Friday","07:00:00","Single","No","No","No","100","Driver","Male","26","Very Remote Australia","Queensland - Outback","McKinlay","National or State Highway","No","No","320191291842"
"NSW","3","2026","Monday","19:00:00","Multiple","Yes","No","No","50","Motorcycle rider","Male","15","Major Cities of Australia","Sydney - South West","Fairfield","Local Road","No","No","9149469927016439477"
"NSW","3","2023","Tuesday","20:26:00","Multiple","No","No","No","60","Pedestrian","Female","55","Major Cities of Australia","Sydney - Ryde","Hornsby","Local Road","No","No","8162614463379868079"
"WA","7","2024","Monday","16:00:00","Multiple","No","No","No","60","Pedestrian","Male","76","Major Cities of Australia","Perth - South West","Rockingham","Arterial Road","No","No","6283314824119146661"
"VIC","9","2023","Thursday","18:15:00","Single","No","No","No","80","Motorcycle rider","Male","60","Inner Regional Australia","Bendigo","Greater Bendigo","National or State Highway","No","No","3982582020760889595"
"NSW","3","2019","Tuesday","10:55:00","Multiple","No","No","No","80","Driver","Female","77","Inner Regional Australia","Coffs Harbour - Grafton","Clarence Valley","Arterial Road","No","No","120191194672"
"NSW","1","2018","Saturday","11:40:00","Multiple","No","No","No","50","Motorcycle rider","Male","31","Major Cities of Australia","Central Coast","Central Coast (NSW)","Local Road","No","No","120181158520"
