"vehicle_type","state_abb","year_of_manufacture","no_vehicles"
"Passenger vehicles","NSW","1913",3
"Passenger vehicles","NSW","1917",3
"Passenger vehicles","NSW","1922",3
"Passenger vehicles","NSW","1923",46
"Passenger vehicles","NSW","1924",12
"Passenger vehicles","NSW","1925",20
"Passenger vehicles","NSW","1926",26
"Passenger vehicles","NSW","1927",49
"Passenger vehicles","NSW","1928",207
"Passenger vehicles","NSW","1929",98
"Passenger vehicles","NSW","1930",82
"Passenger vehicles","NSW","1931",39
"Passenger vehicles","NSW","1932",241
"Passenger vehicles","NSW","1933",54
"Passenger vehicles","NSW","1934",234
"Passenger vehicles","NSW","1935",67
"Passenger vehicles","NSW","1936",71
"Passenger vehicles","NSW","1937",83
"Passenger vehicles","NSW","1938",54
"Passenger vehicles","NSW","1939",75
"Passenger vehicles","NSW","1940",47
"Passenger vehicles","NSW","1941",12
"Passenger vehicles","NSW","1942",12
"Passenger vehicles","NSW","1943",7
"Passenger vehicles","NSW","1944",12
"Passenger vehicles","NSW","1946",36
"Passenger vehicles","NSW","1947",51
"Passenger vehicles","NSW","1948",103
"Passenger vehicles","NSW","1949",93
"Passenger vehicles","NSW","1950",106
"Passenger vehicles","NSW","1951",121
"Passenger vehicles","NSW","1952",83
"Passenger vehicles","NSW","1953",129
"Passenger vehicles","NSW","1954",201
"Passenger vehicles","NSW","1955",290
"Passenger vehicles","NSW","1956",301
"Passenger vehicles","NSW","1957",451
"Passenger vehicles","NSW","1958",296
"Passenger vehicles","NSW","1959",393
"Passenger vehicles","NSW","1960",377
"Passenger vehicles","NSW","1961",313
"Passenger vehicles","NSW","1962",512
"Passenger vehicles","NSW","1963",705
"Passenger vehicles","NSW","1964",1244
"Passenger vehicles","NSW","1965",1132
"Passenger vehicles","NSW","1966",1299
"Passenger vehicles","NSW","1967",1340
"Passenger vehicles","NSW","1968",1357
"Passenger vehicles","NSW","1969",1565
"Passenger vehicles","NSW","1970",1994
"Passenger vehicles","NSW","1971",2145
"Passenger vehicles","NSW","1972",1472
"Passenger vehicles","NSW","1973",1444
"Passenger vehicles","NSW","1974",1665
"Passenger vehicles","NSW","1975",1299
"Passenger vehicles","NSW","1976",1380
"Passenger vehicles","NSW","1977",1326
"Passenger vehicles","NSW","1978",1240
"Passenger vehicles","NSW","1979",1032
"Passenger vehicles","NSW","1980",732
"Passenger vehicles","NSW","1981",869
"Passenger vehicles","NSW","1982",1087
"Passenger vehicles","NSW","1983",1045
"Passenger vehicles","NSW","1984",1666
"Passenger vehicles","NSW","1985",2330
"Passenger vehicles","NSW","1986",1754
"Passenger vehicles","NSW","1987",1546
"Passenger vehicles","NSW","1988",2335
"Passenger vehicles","NSW","1989",3594
"Passenger vehicles","NSW","1990",4769
"Passenger vehicles","NSW","1991",4986
"Passenger vehicles","NSW","1992",5898
"Passenger vehicles","NSW","1993",6970
"Passenger vehicles","NSW","1994",9394
"Passenger vehicles","NSW","1995",10993
"Passenger vehicles","NSW","1996",13086
"Passenger vehicles","NSW","1997",18923
"Passenger vehicles","NSW","1998",27294
"Passenger vehicles","NSW","1999",33342
"Passenger vehicles","NSW","2000",44549
"Passenger vehicles","NSW","2001",49978
"Passenger vehicles","NSW","2002",64386
"Passenger vehicles","NSW","2003",87598
"Passenger vehicles","NSW","2004",100921
"Passenger vehicles","NSW","2005",117848
"Passenger vehicles","NSW","2006",128635
"Passenger vehicles","NSW","2007",153241
"Passenger vehicles","NSW","2008",157781
"Passenger vehicles","NSW","2009",157622
"Passenger vehicles","NSW","2010",189648
"Passenger vehicles","NSW","2011",192045
"Passenger vehicles","NSW","2012",222887
"Passenger vehicles","NSW","2013",240573
"Passenger vehicles","NSW","2014",239142
"Passenger vehicles","NSW","2015",272257
"Passenger vehicles","NSW","2016",281893
"Passenger vehicles","NSW","2017",281613
"Passenger vehicles","NSW","2018",258764
"Passenger vehicles","NSW","2019",241042
"Passenger vehicles","NSW","2020",214258
"Passenger vehicles","NSW","2021",259657
"Passenger vehicles","NSW","2022",270377
"Passenger vehicles","NSW","2023",219223
"Passenger vehicles","NSW","2024",37
"Passenger vehicles","NSW","Not stated",64
"Passenger vehicles","Vic","1908",3
"Passenger vehicles","Vic","1916",3
"Passenger vehicles","Vic","1919",3
"Passenger vehicles","Vic","1922",5
"Passenger vehicles","Vic","1923",30
"Passenger vehicles","Vic","1924",26
"Passenger vehicles","Vic","1925",22
"Passenger vehicles","Vic","1926",32
"Passenger vehicles","Vic","1927",63
"Passenger vehicles","Vic","1928",217
"Passenger vehicles","Vic","1929",132
"Passenger vehicles","Vic","1930",96
"Passenger vehicles","Vic","1931",45
"Passenger vehicles","Vic","1932",264
"Passenger vehicles","Vic","1933",77
"Passenger vehicles","Vic","1934",297
"Passenger vehicles","Vic","1935",102
"Passenger vehicles","Vic","1936",108
"Passenger vehicles","Vic","1937",105
"Passenger vehicles","Vic","1938",90
"Passenger vehicles","Vic","1939",98
"Passenger vehicles","Vic","1940",54
"Passenger vehicles","Vic","1941",20
"Passenger vehicles","Vic","1942",21
"Passenger vehicles","Vic","1943",9
"Passenger vehicles","Vic","1944",5
"Passenger vehicles","Vic","1945",3
"Passenger vehicles","Vic","1946",47
"Passenger vehicles","Vic","1947",79
"Passenger vehicles","Vic","1948",125
"Passenger vehicles","Vic","1949",117
"Passenger vehicles","Vic","1950",144
"Passenger vehicles","Vic","1951",164
"Passenger vehicles","Vic","1952",137
"Passenger vehicles","Vic","1953",144
"Passenger vehicles","Vic","1954",275
"Passenger vehicles","Vic","1955",449
"Passenger vehicles","Vic","1956",393
"Passenger vehicles","Vic","1957",504
"Passenger vehicles","Vic","1958",318
"Passenger vehicles","Vic","1959",402
"Passenger vehicles","Vic","1960",349
"Passenger vehicles","Vic","1961",337
"Passenger vehicles","Vic","1962",581
"Passenger vehicles","Vic","1963",802
"Passenger vehicles","Vic","1964",1182
"Passenger vehicles","Vic","1965",1263
"Passenger vehicles","Vic","1966",1532
"Passenger vehicles","Vic","1967",1522
"Passenger vehicles","Vic","1968",1491
"Passenger vehicles","Vic","1969",1651
"Passenger vehicles","Vic","1970",2109
"Passenger vehicles","Vic","1971",2155
"Passenger vehicles","Vic","1972",1358
"Passenger vehicles","Vic","1973",1473
"Passenger vehicles","Vic","1974",1579
"Passenger vehicles","Vic","1975",1431
"Passenger vehicles","Vic","1976",1384
"Passenger vehicles","Vic","1977",1322
"Passenger vehicles","Vic","1978",1393
"Passenger vehicles","Vic","1979",1098
"Passenger vehicles","Vic","1980",836
"Passenger vehicles","Vic","1981",1057
"Passenger vehicles","Vic","1982",1131
"Passenger vehicles","Vic","1983",1234
"Passenger vehicles","Vic","1984",1811
"Passenger vehicles","Vic","1985",2388
"Passenger vehicles","Vic","1986",2066
"Passenger vehicles","Vic","1987",1870
"Passenger vehicles","Vic","1988",2910
"Passenger vehicles","Vic","1989",4269
"Passenger vehicles","Vic","1990",5639
"Passenger vehicles","Vic","1991",5341
"Passenger vehicles","Vic","1992",6454
"Passenger vehicles","Vic","1993",7556
"Passenger vehicles","Vic","1994",9294
"Passenger vehicles","Vic","1995",11092
"Passenger vehicles","Vic","1996",13425
"Passenger vehicles","Vic","1997",18765
"Passenger vehicles","Vic","1998",27621
"Passenger vehicles","Vic","1999",33930
"Passenger vehicles","Vic","2000",43628
"Passenger vehicles","Vic","2001",55862
"Passenger vehicles","Vic","2002",64775
"Passenger vehicles","Vic","2003",86405
"Passenger vehicles","Vic","2004",96854
"Passenger vehicles","Vic","2005",112692
"Passenger vehicles","Vic","2006",122275
"Passenger vehicles","Vic","2007",143592
"Passenger vehicles","Vic","2008",153027
"Passenger vehicles","Vic","2009",149160
"Passenger vehicles","Vic","2010",186288
"Passenger vehicles","Vic","2011",177173
"Passenger vehicles","Vic","2012",205274
"Passenger vehicles","Vic","2013",224394
